DATE,ACMY01,ACMY02,ACMY03,ACMY04,ACMY05,ACMY06,ACMY07,ACMY08,ACMY09,ACMY10,ACMTP01,ACMTP02,ACMTP03,ACMTP04,ACMTP05,ACMTP06,ACMTP07,ACMTP08,ACMTP09,ACMTP10,ACMRNY01,ACMRNY02,ACMRNY03,ACMRNY04,ACMRNY05,ACMRNY06,ACMRNY07,ACMRNY08,ACMRNY09,ACMRNY10
1961-06-30,2.890118036517864,3.264269942937939,3.4917837192610346,3.6273650256727787,3.7101114226017806,3.7633789182347166,3.8001581419932067,3.827360343401953,3.8485077974282444,3.865283849064336,-0.02343157553479225,0.0971145307841188,0.20587903851065015,0.27931038949290876,0.32547063123987385,0.35498601531043406,0.3752870949702247,0.3906616342620679,0.4032761482892693,0.414037259046832,2.9135496120526563,3.16715541215382,3.2859046807503844,3.34805463617987,3.3846407913619068,3.4083929029242825,3.424871047022982,3.4366987091398853,3.445231649138975,3.451246590017504
1961-09-30,2.9147384517254125,3.3130459590319004,3.535144051656231,3.663134627791803,3.741388714363772,3.7931703231140284,3.8304548246904124,3.859286452672629,3.8826141208107448,3.9017778069757107,0.04415617328938293,0.16732181912424648,0.26398880485963705,0.3268034525092345,0.3667742459253005,0.3937089768786115,0.4137357066291365,0.4301432635941502,0.44445740969294567,0.45720399764535946,2.8705822784360295,3.145724139907654,3.271155246796594,3.3363311752825684,3.3746144684384713,3.399461346235417,3.416719118061276,3.429143189078479,3.438156711117799,3.4445738093303513
1961-12-31,3.091659878018804,3.397250668269938,3.6378964919913326,3.7805993248687537,3.851352812477755,3.878623693910893,3.882099125172891,3.8734534476567943,3.8590235948389884,3.841973281878138,-0.24666499181302726,-0.16971858812528096,-0.029311925584969867,0.0696334875315685,0.12121603215315879,0.1407224468179753,0.1422619583877962,0.1350285280369996,0.12417888218538664,0.11226209684661015,3.338324869831831,3.566969256395219,3.6672084175763024,3.710965837337185,3.7301367803245964,3.7379012470929176,3.7398371667850947,3.7384249196197947,3.7348447126536017,3.729711185031528
1962-03-31,2.8699791959795173,3.1479170112532735,3.3484049007711127,3.4892048484086917,3.590695019153257,3.6674453635732815,3.7284283103740794,3.7787851875418954,3.8213283598775987,3.857531063974682,-0.028956108058961316,0.07131146234352714,0.1827239940007277,0.27211099131601424,0.33977728181996225,0.3920368830542911,0.43422135064139633,0.46971593387564736,0.5003885965077437,0.527139156616045,2.8989353040384787,3.0766055489097464,3.165680906770385,3.2170938570926775,3.2509177373332947,3.2754084805189905,3.294206959732683,3.309069253666248,3.320939763369855,3.3303919073586368
1962-06-30,3.037290046307214,3.2909500589319864,3.501417024587722,3.64884139965714,3.7486210188990574,3.8175757964518238,3.8674618141162966,3.9053873970524795,3.935335841983311,3.9594098868614944,-0.1205973458780174,-0.021638215044780917,0.11160029399214588,0.2175258101210602,0.292463219474985,0.3451682600260564,0.3838597220649542,0.4139760674311983,0.4386290323958977,0.4594077999594379,3.1578873921852315,3.3125882739767674,3.389816730595576,3.4313155895360796,3.4561577994240724,3.4724075364257674,3.4836020920513424,3.491411329621281,3.496706809587413,3.5000020869020565
1962-09-30,2.8363138234292053,3.0605887419598794,3.29773693852234,3.486233251630665,3.62742302296295,3.7339984411554052,3.8169379803613137,3.8836132256668017,3.9385318791639117,3.984333625848531,-0.1325459773866191,-0.019002466054592215,0.14790689348239638,0.2900708924750539,0.3979270002691182,0.4789656927234134,0.5416329759900069,0.5919518768868164,0.6336255785333953,0.6687562039934782,2.9688598008158245,3.0795912080144716,3.1498300450399435,3.196162359155611,3.229496022693832,3.255032748431992,3.275305004371307,3.2916613487799853,3.3049063006305164,3.315577421855053
1962-12-31,3.003399140711188,3.165638500270201,3.305555648842153,3.424620321216845,3.5270455666943556,3.6164967094306113,3.695524599155725,3.765740120299167,3.82810851980721,3.8831916086315585,-0.010111922539617346,0.0658732918228111,0.15772317481042286,0.2445608600077529,0.3225278837592205,0.392129721257092,0.4545661420704281,0.5107907033625874,0.56138708225724,0.6066502156673002,3.0135110632508053,3.09976520844739,3.14783247403173,3.180059461209092,3.204517682935135,3.2243669881735193,3.2409584570852967,3.25494941693658,3.26672143754997,3.2765413929642584
1963-03-31,2.946881171945114,3.2018307442962244,3.411663111801976,3.567604643184065,3.682888062204054,3.770817081042426,3.840634952343019,3.898004779137676,3.946189782278342,3.9869984835094,-0.050215990482616935,0.05856256554798911,0.19076303465983058,0.300370816884338,0.3845632680014446,0.44980844057790303,0.5022537134340253,0.5460234470179182,0.5835237552424912,0.6160237296761943,2.997097162427731,3.1432681787482353,3.2209000771421454,3.267233826299727,3.2983247942026095,3.321008640464523,3.338381238908994,3.351981332119758,3.362666027035851,3.3709747538332056
1963-06-30,2.993456739905937,3.2809265270700076,3.513637578798113,3.673287875474676,3.7788776673611233,3.8499204360791013,3.8998486935453918,3.9367455538301095,3.9651447424187922,3.9874552064234963,-0.12256756437235783,-0.008711597599213139,0.13616532719175112,0.24827465518607328,0.32534621249961315,0.377767707733081,0.4149025537662596,0.442878682233558,0.4651942816553234,0.48364464514938277,3.116024304278295,3.289638124669221,3.377472251606362,3.4250132202886028,3.45353145486151,3.4721527283460203,3.484946139779132,3.4938668715965515,3.499950460763469,3.5038105612741135
1963-09-30,3.3831970037598573,3.571305139507841,3.7190939170065853,3.8212619367520197,3.8908742574177633,3.940100595004706,3.976991854022729,4.006189889258205,4.03012967497798,4.049955413051321,-0.09354908319571731,-0.022908923962766004,0.07609406853839928,0.15784802432098077,0.21900081689844253,0.26527672118009393,0.3021434459793082,0.3331608916389075,0.36027319030667515,0.38436833410815385,3.4767460869555746,3.594214063470607,3.642999848468186,3.663413912431039,3.6718734405193207,3.674823873824612,3.6748484080434207,3.6730289976192974,3.6698564846713047,3.665587078943167
