MCALDT,AVGCOURT_noTIPS0,AVGCOURT_noTIPS1,AVGCOURT_noTIPS10,AVGCOURT_noTIPS100,AVGCOURT_noTIPS101,AVGCOURT_noTIPS102,AVGCOURT_noTIPS103,AVGCOURT_noTIPS104,AVGCOURT_noTIPS105,AVGCOURT_noTIPS106,AVGCOURT_noTIPS107,AVGCOURT_noTIPS108,AVGCOURT_noTIPS109,AVGCOURT_noTIPS11,AVGCOURT_noTIPS110,AVGCOURT_noTIPS111,AVGCOURT_noTIPS112,AVGCOURT_noTIPS113,AVGCOURT_noTIPS114,AVGCOURT_noTIPS115,AVGCOURT_noTIPS116,AVGCOURT_noTIPS117,AVGCOURT_noTIPS118,AVGCOURT_noTIPS119,AVGCOURT_noTIPS12,AVGCOURT_noTIPS120,AVGCOURT_noTIPS121,AVGCOURT_noTIPS122,AVGCOURT_noTIPS123,AVGCOURT_noTIPS124,AVGCOURT_noTIPS125,AVGCOURT_noTIPS126,AVGCOURT_noTIPS127,AVGCOURT_noTIPS128,AVGCOURT_noTIPS129,AVGCOURT_noTIPS13,AVGCOURT_noTIPS130,AVGCOURT_noTIPS131,AVGCOURT_noTIPS132,AVGCOURT_noTIPS133,AVGCOURT_noTIPS134,AVGCOURT_noTIPS135,AVGCOURT_noTIPS136,AVGCOURT_noTIPS137,AVGCOURT_noTIPS138,AVGCOURT_noTIPS139,AVGCOURT_noTIPS14,AVGCOURT_noTIPS140,AVGCOURT_noTIPS141,AVGCOURT_noTIPS142,AVGCOURT_noTIPS143,AVGCOURT_noTIPS144,AVGCOURT_noTIPS145,AVGCOURT_noTIPS146,AVGCOURT_noTIPS147,AVGCOURT_noTIPS148,AVGCOURT_noTIPS149,AVGCOURT_noTIPS15,AVGCOURT_noTIPS150,AVGCOURT_noTIPS151,AVGCOURT_noTIPS152,AVGCOURT_noTIPS153,AVGCOURT_noTIPS16,AVGCOURT_noTIPS17,AVGCOURT_noTIPS18,AVGCOURT_noTIPS19,AVGCOURT_noTIPS2,AVGCOURT_noTIPS20,AVGCOURT_noTIPS21,AVGCOURT_noTIPS22,AVGCOURT_noTIPS23,AVGCOURT_noTIPS24,AVGCOURT_noTIPS25,AVGCOURT_noTIPS26,AVGCOURT_noTIPS27,AVGCOURT_noTIPS28,AVGCOURT_noTIPS29,AVGCOURT_noTIPS3,AVGCOURT_noTIPS30,AVGCOURT_noTIPS31,AVGCOURT_noTIPS32,AVGCOURT_noTIPS33,AVGCOURT_noTIPS34,AVGCOURT_noTIPS35,AVGCOURT_noTIPS36,AVGCOURT_noTIPS37,AVGCOURT_noTIPS38,AVGCOURT_noTIPS39,AVGCOURT_noTIPS4,AVGCOURT_noTIPS40,AVGCOURT_noTIPS41,AVGCOURT_noTIPS42,AVGCOURT_noTIPS43,AVGCOURT_noTIPS44,AVGCOURT_noTIPS45,AVGCOURT_noTIPS46,AVGCOURT_noTIPS47,AVGCOURT_noTIPS48,AVGCOURT_noTIPS49,AVGCOURT_noTIPS5,AVGCOURT_noTIPS50,AVGCOURT_noTIPS51,AVGCOURT_noTIPS52,AVGCOURT_noTIPS53,AVGCOURT_noTIPS54,AVGCOURT_noTIPS55,AVGCOURT_noTIPS56,AVGCOURT_noTIPS57,AVGCOURT_noTIPS58,AVGCOURT_noTIPS59,AVGCOURT_noTIPS6,AVGCOURT_noTIPS60,AVGCOURT_noTIPS61,AVGCOURT_noTIPS62,AVGCOURT_noTIPS63,AVGCOURT_noTIPS64,AVGCOURT_noTIPS65,AVGCOURT_noTIPS66,AVGCOURT_noTIPS67,AVGCOURT_noTIPS68,AVGCOURT_noTIPS69,AVGCOURT_noTIPS7,AVGCOURT_noTIPS70,AVGCOURT_noTIPS71,AVGCOURT_noTIPS72,AVGCOURT_noTIPS73,AVGCOURT_noTIPS74,AVGCOURT_noTIPS75,AVGCOURT_noTIPS76,AVGCOURT_noTIPS77,AVGCOURT_noTIPS78,AVGCOURT_noTIPS79,AVGCOURT_noTIPS8,AVGCOURT_noTIPS80,AVGCOURT_noTIPS81,AVGCOURT_noTIPS82,AVGCOURT_noTIPS83,AVGCOURT_noTIPS84,AVGCOURT_noTIPS85,AVGCOURT_noTIPS86,AVGCOURT_noTIPS87,AVGCOURT_noTIPS88,AVGCOURT_noTIPS89,AVGCOURT_noTIPS9,AVGCOURT_noTIPS90,AVGCOURT_noTIPS91,AVGCOURT_noTIPS92,AVGCOURT_noTIPS93,AVGCOURT_noTIPS94,AVGCOURT_noTIPS95,AVGCOURT_noTIPS96,AVGCOURT_noTIPS97,AVGCOURT_noTIPS98,AVGCOURT_noTIPS99,AVGCOURT_ofTIPS0,AVGCOURT_ofTIPS1,AVGCOURT_ofTIPS10,AVGCOURT_ofTIPS100,AVGCOURT_ofTIPS101,AVGCOURT_ofTIPS102,AVGCOURT_ofTIPS103,AVGCOURT_ofTIPS104,AVGCOURT_ofTIPS105,AVGCOURT_ofTIPS106,AVGCOURT_ofTIPS107,AVGCOURT_ofTIPS108,AVGCOURT_ofTIPS109,AVGCOURT_ofTIPS11,AVGCOURT_ofTIPS110,AVGCOURT_ofTIPS111,AVGCOURT_ofTIPS112,AVGCOURT_ofTIPS113,AVGCOURT_ofTIPS114,AVGCOURT_ofTIPS115,AVGCOURT_ofTIPS116,AVGCOURT_ofTIPS117,AVGCOURT_ofTIPS118,AVGCOURT_ofTIPS119,AVGCOURT_ofTIPS12,AVGCOURT_ofTIPS120,AVGCOURT_ofTIPS121,AVGCOURT_ofTIPS122,AVGCOURT_ofTIPS123,AVGCOURT_ofTIPS124,AVGCOURT_ofTIPS125,AVGCOURT_ofTIPS126,AVGCOURT_ofTIPS127,AVGCOURT_ofTIPS128,AVGCOURT_ofTIPS129,AVGCOURT_ofTIPS13,AVGCOURT_ofTIPS130,AVGCOURT_ofTIPS131,AVGCOURT_ofTIPS132,AVGCOURT_ofTIPS133,AVGCOURT_ofTIPS134,AVGCOURT_ofTIPS135,AVGCOURT_ofTIPS136,AVGCOURT_ofTIPS137,AVGCOURT_ofTIPS138,AVGCOURT_ofTIPS139,AVGCOURT_ofTIPS14,AVGCOURT_ofTIPS140,AVGCOURT_ofTIPS141,AVGCOURT_ofTIPS142,AVGCOURT_ofTIPS143,AVGCOURT_ofTIPS144,AVGCOURT_ofTIPS145,AVGCOURT_ofTIPS146,AVGCOURT_ofTIPS147,AVGCOURT_ofTIPS148,AVGCOURT_ofTIPS149,AVGCOURT_ofTIPS15,AVGCOURT_ofTIPS150,AVGCOURT_ofTIPS151,AVGCOURT_ofTIPS152,AVGCOURT_ofTIPS153,AVGCOURT_ofTIPS16,AVGCOURT_ofTIPS17,AVGCOURT_ofTIPS18,AVGCOURT_ofTIPS19,AVGCOURT_ofTIPS2,AVGCOURT_ofTIPS20,AVGCOURT_ofTIPS21,AVGCOURT_ofTIPS22,AVGCOURT_ofTIPS23,AVGCOURT_ofTIPS24,AVGCOURT_ofTIPS25,AVGCOURT_ofTIPS26,AVGCOURT_ofTIPS27,AVGCOURT_ofTIPS28,AVGCOURT_ofTIPS29,AVGCOURT_ofTIPS3,AVGCOURT_ofTIPS30,AVGCOURT_ofTIPS31,AVGCOURT_ofTIPS32,AVGCOURT_ofTIPS33,AVGCOURT_ofTIPS34,AVGCOURT_ofTIPS35,AVGCOURT_ofTIPS36,AVGCOURT_ofTIPS37,AVGCOURT_ofTIPS38,AVGCOURT_ofTIPS39,AVGCOURT_ofTIPS4,AVGCOURT_ofTIPS40,AVGCOURT_ofTIPS41,AVGCOURT_ofTIPS42,AVGCOURT_ofTIPS43,AVGCOURT_ofTIPS44,AVGCOURT_ofTIPS45,AVGCOURT_ofTIPS46,AVGCOURT_ofTIPS47,AVGCOURT_ofTIPS48,AVGCOURT_ofTIPS49,AVGCOURT_ofTIPS5,AVGCOURT_ofTIPS50,AVGCOURT_ofTIPS51,AVGCOURT_ofTIPS52,AVGCOURT_ofTIPS53,AVGCOURT_ofTIPS54,AVGCOURT_ofTIPS55,AVGCOURT_ofTIPS56,AVGCOURT_ofTIPS57,AVGCOURT_ofTIPS58,AVGCOURT_ofTIPS59,AVGCOURT_ofTIPS6,AVGCOURT_ofTIPS60,AVGCOURT_ofTIPS61,AVGCOURT_ofTIPS62,AVGCOURT_ofTIPS63,AVGCOURT_ofTIPS64,AVGCOURT_ofTIPS65,AVGCOURT_ofTIPS66,AVGCOURT_ofTIPS67,AVGCOURT_ofTIPS68,AVGCOURT_ofTIPS69,AVGCOURT_ofTIPS7,AVGCOURT_ofTIPS70,AVGCOURT_ofTIPS71,AVGCOURT_ofTIPS72,AVGCOURT_ofTIPS73,AVGCOURT_ofTIPS74,AVGCOURT_ofTIPS75,AVGCOURT_ofTIPS76,AVGCOURT_ofTIPS77,AVGCOURT_ofTIPS78,AVGCOURT_ofTIPS79,AVGCOURT_ofTIPS8,AVGCOURT_ofTIPS80,AVGCOURT_ofTIPS81,AVGCOURT_ofTIPS82,AVGCOURT_ofTIPS83,AVGCOURT_ofTIPS84,AVGCOURT_ofTIPS85,AVGCOURT_ofTIPS86,AVGCOURT_ofTIPS87,AVGCOURT_ofTIPS88,AVGCOURT_ofTIPS89,AVGCOURT_ofTIPS9,AVGCOURT_ofTIPS90,AVGCOURT_ofTIPS91,AVGCOURT_ofTIPS92,AVGCOURT_ofTIPS93,AVGCOURT_ofTIPS94,AVGCOURT_ofTIPS95,AVGCOURT_ofTIPS96,AVGCOURT_ofTIPS97,AVGCOURT_ofTIPS98,AVGCOURT_ofTIPS99
1980-09-30,,1.267060340253366,8.336379500367377,,,,,,,7.625,,,7.875,8.941082650923633,,,8.375,8.750000000000002,,9.125,,10.375000000000002,11.750000000000002,10.0,10.169468270698554,,,,,,,,,,,9.418419110865154,,,,,,,,,,,9.046863988724454,,,,,,,,,,,9.028670996356725,,,,,8.967834697023598,,8.0,10.405021041938761,1.8600072547881605,8.806934194341945,11.75,,7.875,8.0,6.125,8.999999999999998,12.0,,7.625,4.90963860587973,,8.25,,8.750000000000002,,9.25,,10.749999999999998,3.500000000000001,8.250000000000002,5.532387289516567,10.75,,,,,,,,5.384808853118712,,10.034241607956899,7.313104130052724,,8.040195545898968,8.625,8.999999999999998,4.125000000000001,8.75,10.125000000000002,8.815694372741355,11.499625872963088,10.85460177406486,,,,,,,,,,,9.058031700738773,,7.000000000000001,,3.5,,8.500000000000002,,,7.875,,9.846900801236426,8.375,,,,8.0,,,,,,8.186482360922659,,,,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,1.264297746603336,8.943793464799466,,,,,,7.625,,,7.875,,10.169468270698554,,8.375,8.750000000000002,,9.125,,10.375000000000002,11.750000000000002,10.0,,9.418419110865154,12.749999999999998,,,,,,,,,,9.046863988724454,,,,,,,,,,,10.742543281896877,,,,,,,,,,,8.968583283935981,,,,,14.000000000000002,8.0,10.434822209268434,8.806934194341945,1.6123207385627543,11.75,13.5,7.875,8.0,6.125,8.999999999999998,12.0,,7.625,,5.532387289516567,8.25,,8.750000000000002,,9.25,,10.749999999999998,3.5000000000000004,8.250000000000002,10.75,6.6127611634575985,13.0,,,,,,,5.399261334691798,,7.320398502862175,10.85460177406486,,8.040195545898968,8.625,8.999999999999998,4.125000000000001,8.75,10.125000000000002,8.851948051948051,11.499625872963088,,9.057941130482371,11.5,,,,,,,,,,9.847148230988205,7.000000000000001,,3.5000000000000004,,8.500000000000002,,,7.875,,8.375,11.652399144901155,,,,8.0,,,,,,,8.336379500367377,,,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-31,,1.0198680026877438,10.169468270698554,,,,,7.625,,,7.875,,,9.418419110865154,8.375,8.750000000000002,,9.125,,10.375000000000002,11.750000000000002,10.0,,12.75,9.046863988724454,,,,,,,,,,,10.742543281896877,,,,,,,,,,,10.492593723753531,,,,,,,,,,,14.000000000000002,,,,,10.549343339587242,10.454655071616486,8.806934194341945,11.75,2.0460275210928085,13.500000000000002,10.217147712870146,8.0,6.125,8.999999999999998,12.0,,7.625,12.375,8.25,5.886423309751294,,8.750000000000002,,9.25,,10.749999999999998,3.5000000000000004,8.250000000000002,10.75,13.0,6.435141903171953,,,,,,,5.410792384872653,,7.324790564373898,,9.057941130482371,8.040195545898968,8.625,8.999999999999998,4.125,8.75,10.125000000000002,8.894819466248038,11.499625872963088,,11.5,9.847148230988205,,,,,,,,,,7.000000000000001,11.646928522977785,,3.5,,8.500000000000002,,,7.875,,8.375,,11.345138658406166,11.75,,8.0,,,,,,,,8.945421193062703,,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-30,,1.3664481578927754,9.418419110865154,,,,7.625,,,7.875,,,8.375,9.046863988724454,8.750000000000002,,9.125,,10.375000000000002,11.750000000000002,10.0,,12.75,,12.055245070813664,13.875000000000002,,,,,,,,,,10.492593723753531,,,,,,,,,,,14.000000000000002,,,,,,,,,,,10.547221179121292,,,,,11.65076448103499,8.806934194341945,11.75,13.500000000000002,2.5658480368780796,10.217147712870146,8.0,11.7693661971831,8.999999999999998,12.0,,7.625,12.375,10.337078651685394,,6.435141903171953,8.750000000000002,,9.25,,10.749999999999998,3.5,8.250000000000002,10.75,13.0,,6.118995748501414,14.5,,,,,5.421035556709058,,7.32772506619594,,8.040195545898968,9.847148230988205,8.625,8.999999999999998,4.125000000000001,8.75,10.125000000000002,8.91960063058329,11.499625872963088,,11.5,,11.646928522977785,,,,,,,,,7.000000000000001,,11.344335793357935,3.5000000000000004,,8.500000000000002,,,7.875,,8.375,,11.75,12.360813934459763,13.125000000000002,8.0,,,,,,,,,10.169468270698554,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-30,,1.6648645768154406,9.046863988724454,,,7.625,,,7.875,,,8.375,8.750000000000002,12.055245070813664,,9.125,,10.375000000000002,11.750000000000002,10.0,,12.75,,13.875000000000002,10.492593723753531,,,,,,,,,,,15.229787234042552,,,,,,,,,,,10.547221179121292,,,,,,,,,,,11.70860061186223,,,,,11.121639506989826,11.75,13.500000000000002,10.217147712870146,2.61479932165065,8.0,13.689032524456868,8.999999999999998,12.0,,7.625,12.375,10.337078651685394,14.0,8.750000000000002,6.119157336009296,,9.25,,10.749999999999998,3.5000000000000004,8.250000000000002,10.75,13.0,,14.5,6.392158997914521,14.875,,,,5.433009963293131,,7.3321365444100755,,8.040195545898968,8.625,11.646928522977785,8.999999999999998,4.125000000000001,8.75,10.125000000000002,8.950871632329635,11.499625872963088,,11.5,,,11.344335793357935,,,,,,,,7.000000000000001,,3.5000000000000004,12.376213990083187,,8.500000000000002,,,7.875,,8.375,,11.75,13.125,13.299353506864213,10.83124248798077,,,,,,,,,,9.418419110865154,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,1.5667079887007946,12.055245070813664,,7.625,,,7.875,,,8.375,8.750000000000002,,10.492593723753531,9.125,,10.375000000000002,11.750000000000002,10.0,,12.75,,13.875000000000002,,14.889635239864216,14.0,,,,,,,,,,10.547221179121292,,,,,,,,,,,11.742566897918731,,,,,,,,,,,11.122425771234802,,,,,13.0,13.500000000000002,10.217147712870146,8.0,2.1994442546082733,13.689032524456868,10.332170542635659,12.0,,7.625,12.375,10.337078651685394,14.0,12.076383870501518,,5.657112235123706,9.25,,10.749999999999998,3.5,8.25,10.75,13.0,,14.5,14.875,6.200269696901307,14.249999999999998,,,5.4461823966065745,,7.338036741921204,,8.040195545898968,8.625,8.999999999999998,11.344335793357935,4.125000000000001,8.75,10.125000000000002,8.985653560042508,11.499625872963088,,11.5,,,,12.384823625922886,,,,,,,7.000000000000001,,3.5,,13.29953703703704,8.5,,,7.875,,8.375,,11.75,13.125,10.83124248798077,11.899677756968163,15.750000000000002,,,,,,,,,,9.046863988724454,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-31,,1.4644335532635626,10.492593723753531,7.625,,,7.875,,,8.375,8.750000000000002,,9.125,14.889635239864216,,10.375000000000002,11.750000000000002,10.0,,12.75,,13.875000000000002,,14.000000000000004,12.277419471067233,,,,,,,,,,,11.772331642295834,,,,,,,,,,,11.122425771234802,,,,,,,,,,,13.0,,,,,13.784507232661891,10.217147712870146,8.0,13.689032524456868,2.3705419203884635,10.332170542635659,13.174762143214823,,7.625,12.375,10.337078651685394,14.0,12.076383870501518,14.624999999999998,9.25,6.200269696901307,,10.749999999999998,3.5000000000000004,8.25,10.75,13.0,,14.5,14.875,14.249999999999998,7.15922639839784,14.624999999999998,,5.461275167785235,,7.343957871396896,,8.040195545898968,8.625,8.999999999999998,4.125000000000001,12.392698797159161,8.75,10.125000000000002,9.03051391862955,11.499625872963088,,11.5,,,,,13.29953703703704,,,,,,7.000000000000001,,3.5,,8.5,11.899718162455935,,,7.875,,8.375,,11.75,13.125,10.83124248798077,15.750000000000002,12.56872308934338,14.249999999999998,,,,,,,,,,12.055245070813664,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-30,,1.5164449169260443,14.889635239864216,,,7.875,,,8.375,8.750000000000002,,9.125,,12.277419471067233,10.375000000000002,11.750000000000002,10.0,,12.75,,13.875000000000002,,14.000000000000004,,12.76076378649366,,,,,,,,,,,11.122425771234802,,,,,,,,,,,13.0,,,,,,,,,,,13.784681885722005,,,,,10.217147712870146,8.0,13.689032524456868,10.332170542635659,2.6879543475495806,13.174762143214823,13.75,7.625,12.375,10.337078651685394,14.0,12.076383870501518,14.624999999999998,12.121234939759036,,7.15922639839784,10.749999999999998,3.5000000000000004,8.25,10.75,13.0,,14.5,14.875,14.249999999999998,14.624999999999998,7.368605474568406,13.75,5.48312380431812,,7.352879057358826,,8.040195545898968,8.625,8.999999999999998,4.125,8.75,13.29953703703704,10.125000000000002,9.066235864297253,11.499625872963088,,11.5,,,,,,11.899718162455935,,,,,7.000000000000001,,3.5000000000000004,,8.5,,12.56877543812439,,7.875,,8.375,,11.75,13.125,10.83124248798077,15.750000000000002,14.249999999999998,13.14187672917307,,,,,,,,,,,10.492593723753531,,,8.25,,,,,,,7.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-30,,1.5424871004508527,12.277419471067233,,7.875,,,8.375,8.750000000000002,,9.125,,10.375000000000002,12.774425541969402,11.750000000000002,10.0,,12.75,,13.875000000000002,,14.000000000000004,,,11.888248288895701,,,,,,,,,,,13.0,,,,,,,,,,,13.784681885722005,,,,,,,,,,,11.866478752697775,,,,,9.611600443661512,13.689032524456868,10.332170542635659,13.174762143214823,2.686610271692112,13.75,11.089161626560289,12.375,10.337078651685394,14.0,12.076383870501518,14.624999999999998,12.121234939759036,14.499999999999996,11.22590105830671,7.369309578469202,3.5,8.25,10.75,13.0,,14.5,14.875,14.249999999999998,14.624999999999998,13.75,8.0119004974106,5.4995153697036825,,7.355863373386738,,8.040195545898968,8.625,8.999999999999998,4.125,8.75,10.125000000000002,11.899718162455935,9.105691056910569,11.499625872963088,,11.5,,,,,,,12.56877543812439,,,,7.000000000000001,,3.5,,8.5,,,13.141914635270972,7.875,,8.375,,11.75,13.125,10.83124248798077,15.750000000000002,14.249999999999998,,11.618091250564845,,11.625,,,,,,,,,14.889635239864216,,8.25,,,,,,,7.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,1.5558667982489438,12.848284488920656,7.875,,,8.375,8.750000000000002,,9.125,,10.375000000000002,11.75,11.888248288895701,10.0,,12.75,,13.875000000000002,,14.000000000000004,,,,11.31844268364929,10.375000000000002,,,,,,,,,,13.784681885722005,,,,,,,,,,,11.866478752697775,,,,,,,,,,,9.611772573068894,,,,,12.107291893461063,10.332170542635659,13.174762143214823,13.75,2.5550885518176427,11.089161626560289,10.911774193548387,10.337078651685394,14.0,12.076383870501518,14.624999999999998,12.121234939759036,14.499999999999996,11.22590105830671,3.5000000000000004,8.0119004974106,8.25,10.75,13.0,,14.5,14.875,14.249999999999998,14.624999999999998,13.75,5.5252967778405875,5.85176381891399,10.5,7.361847971466785,,8.055276381909547,8.625,8.999999999999998,4.125,8.75,10.125000000000002,9.378822197055493,12.56877543812439,11.499625872963088,,11.5,,,,,,,,13.141914635270972,,,7.000000000000001,,3.5000000000000004,,8.500000000000002,,,7.875,11.622848178194873,,8.375,,11.75,13.125,10.909936689314392,15.750000000000002,14.249999999999998,,,11.751052463211773,11.625,,,,,,,,,,12.277419471067233,8.25,,,,,,,7.624999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-03-31,,1.461741050651567,11.888248288895701,,,8.375,8.750000000000002,,9.125,,10.375000000000002,11.75,10.0,11.318558838776568,,12.75,,13.875000000000002,,14.000000000000004,,,,10.375000000000002,11.741110573823342,,,,,,,,,,,11.866478752697775,,,,,,,,,,,9.611772573068894,,,,,,,,,,,12.107291893461063,,,,,10.29919250046408,13.174762143214823,13.75,11.089161626560289,3.056016107497834,10.911774193548387,10.126625239005737,14.0,12.076383870501518,14.624999999999998,12.121234939759036,14.499999999999996,11.22590105830671,9.190732034922767,8.25,5.851658149445628,10.75,13.0,,14.5,14.875,14.249999999999998,14.624999999999998,13.75,5.536569717707442,10.5,7.077107560892458,9.815283400809717,,8.055276381909547,8.625,8.999999999999998,4.125000000000001,8.75,10.125000000000002,9.4114968696642,11.499625872963088,13.141914635270972,,11.5,,,,,,,,,11.622848178194873,,7.000000000000001,,3.5,,8.500000000000002,,,7.875,,11.750566102909193,8.375,,11.75,13.125,10.909936689314392,15.750000000000002,14.249999999999998,,,11.625,10.471396096556228,10.75,,,,,,,,,8.25,12.86595846264025,,,,,,,7.624999999999999,,,7.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-06-30,,1.8805360703389629,11.318558838776568,,8.375,8.750000000000002,,9.125,,10.375000000000002,11.75,10.0,,11.74002835234229,12.75,,13.875000000000002,,14.000000000000004,,,,10.375000000000002,,10.987076852698992,,,,,,,,,,,9.611772573068894,,,,,,,,,,,12.107291893461063,,,,,,,,,,,10.299083163548806,,,,,11.789698189134809,13.75,11.089161626560289,10.911774193548387,2.375425160718082,10.126625239005737,11.812310851707739,12.076383870501518,14.624999999999998,12.121234939759036,14.499999999999996,11.22590105830671,9.233085250338295,10.067404506952213,10.75,7.050400486810823,13.0,,14.5,14.875,14.249999999999998,14.624999999999998,13.75,5.548417266187051,10.5,9.814780405405406,7.652590573873197,10.125,8.055276381909547,8.625,8.999999999999998,4.125,8.75,10.125000000000002,9.448196908986835,11.499625872963088,,11.622848178194873,11.5,,,,,,,,,,11.750566102909193,7.000000000000001,,3.5000000000000004,,8.500000000000002,,,7.875,,8.375,10.472055681246859,,11.75,13.125,10.909936689314392,15.750000000000002,14.249999999999998,,,11.625,10.75,10.993545856096711,10.75,,,,,,,,8.25,,11.888248288895701,,,,,,7.624999999999999,,,7.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-09-30,,1.4925001496861197,11.74002835234229,8.375,8.750000000000002,,9.125,,10.375000000000002,11.75,10.0,,12.75,10.987076852698992,,13.875000000000002,,14.000000000000004,,,,10.375000000000002,,,10.25773046713518,12.0,,,,,,,,,,12.107291893461063,,,,,,,,,,,10.299083163548806,,,,,,,,,,,11.789594398841139,,,,,12.13326504662334,11.089161626560289,10.911774193548387,10.126625239005737,2.791777805173264,11.812310851707739,11.924368774611999,14.624999999999998,12.121234939759036,14.499999999999996,11.22590105830671,9.25840978593272,10.067404506952213,10.75,13.0,7.652590573873197,,14.5,14.875,14.249999999999998,14.624999999999998,13.75,5.569684118163206,10.5,9.816352392538525,10.125,6.996214183624856,10.530307125307125,8.625,8.999999999999998,4.125000000000001,8.75,10.125000000000002,9.470419299253303,11.499625872963088,,11.5,11.750566102909193,,,,,,,,,,7.000000000000001,10.472055681246859,,3.500000000000001,,8.500000000000002,,,7.875,,8.375,,10.998328021773519,11.75,13.125,10.909936689314392,15.750000000000002,14.249999999999998,,,11.625,10.75,10.75,11.206336835519503,11.125,,,,,,,8.25,,,11.318558838776568,,,,,7.624999999999999,,,7.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
