Date,Real GDP,Unnamed: 2,Output gap,Potential GDP,Potential GDP growth,rstar,g,z,Adj. output gap,Unnamed: 10,Output gap.1,Potential GDP.1,Potential GDP growth.1,rstar.1,g.1,z.1,Adj. output gap.1
1979-06-30,6749.1,,3.78900852671381,6502.711699247882,-0.3941855171371758,3.90015442811997,3.37796908414649,-0.531377567502219,3.78900852671381,,3.01588711661873,6551.513741137528,0.5539646162167814,3.10406969530498,3.21991170404465,-1.1201080233486,3.01588711661873
1979-09-30,6799.2,,3.1661560210506,6590.533429017801,1.350540110521524,3.84270686230373,3.4125304017991,-0.634165863554049,3.1661560210506,,2.57667889659263,6628.407229731293,1.1736751479424397,3.0895681572872,3.21615203443513,-1.12967727934942,2.57667889659263
1979-12-31,6816.2,,2.86384997925495,6626.429014055624,0.544653713154338,3.86685542298396,3.39196153951112,-0.583033168599003,2.86384997925495,,2.00372442061268,6682.305022406219,0.8131333939950264,3.07564695588332,3.2118483196091,-1.13795246994726,2.00372442061268
1980-03-31,6837.6,,2.84644747192681,6648.357982288505,0.33093191199009736,4.14723457468902,3.37109556581163,-0.27528010441409,2.84644747192681,,1.17225593034959,6758.374553501343,1.1383726250157375,3.06676017831098,3.20775142577954,-1.14146456360862,1.17225593034959
1980-06-30,6696.8,,1.68556325541374,6585.792304831889,-0.9410696238574014,3.75407321707464,3.2192311886782,-0.469211738636235,1.68556325541374,,-0.152391688593298,6707.0209424685345,-0.7598515090615042,3.06743101776164,3.20358124087659,-1.13532289024423,-0.152391688593298
1980-09-30,6688.8,,0.598051796299387,6649.035324803433,0.9602947837444439,3.76577442179855,3.23181729493624,-0.474022151157303,0.598051796299387,,-0.973001304485592,6754.521583115475,0.7082226379549283,3.07593788827004,3.20215205339949,-1.12494107953515,-0.973001304485592
1980-12-31,6813.5,,0.612539887699654,6772.018684355848,1.8496421442316655,4.24049203536624,3.33429806713463,-0.133748284592695,0.612539887699654,,-1.0346422580028,6884.732350246035,1.9277570665560222,3.07536654236565,3.20044617730671,-1.12327449954459,-1.0346422580028
1981-03-31,6947.0,,0.519844172370085,6911.073188779897,2.053368587793194,4.36939415383463,3.42860919149268,-0.128572214150408,0.519844172370085,,-1.00755568990519,7017.707309295702,1.9314470379507882,3.06323496967347,3.19650757383351,-1.13023904824255,-1.00755568990519
1981-06-30,6895.6,,-0.379240766339194,6921.850478800658,0.15594235115695088,3.90824699726653,3.35071361023773,-0.487528749060963,-0.379240766339194,,-1.63152657783769,7009.969515747745,-0.11026098990630047,3.05060934590777,3.19084935326128,-1.1354416953973,-1.63152657783769
1981-09-30,6978.1,,-1.09662910461361,7055.472363405071,1.9304358713562615,4.01178716270883,3.43379695539294,-0.492984993350963,-1.09662910461361,,-2.32615405622846,7144.287124740765,1.9160940527812245,3.04323879000336,3.18683532962753,-1.13754628417145,-2.32615405622846
1981-12-31,6902.1,,-2.28307953417698,7063.362176271247,0.11182543789837752,3.67987347054022,3.35913846210054,-0.726954774983811,-2.28307953417698,,-3.65149490858926,7163.6814639226895,0.27146640166185293,3.03904583192969,3.18131395694823,-1.13449579534594,-3.65149490858926
1982-03-31,6794.9,,-4.01924029930808,7079.439693110718,0.22761846891387344,3.1586850891849,3.28051706885939,-1.14500034744732,-4.01924029930808,,-5.05734068653237,7156.846089138502,-0.09541706758754408,3.04800115342393,3.17727221018228,-1.12023813695478,-5.05734068653237
